time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2009-11-23T06:39:44.370Z,13.909,92.955,20.3,4.1,mb,25,82.3,NA,0.52,us,usp000h4bf,2014-11-07T01:40:08.374Z,"Andaman Islands, India region",earthquake,NA,20.8,NA,2,reviewed,us,us
2009-11-22T15:11:17.980Z,35.526,72.959,63,4.4,mb,55,95.6,NA,1.12,us,usp000h4aq,2014-11-07T01:40:08.174Z,Pakistan,earthquake,NA,8.9,NA,15,reviewed,us,us
2009-11-22T05:24:08.580Z,35.915,70.023,88,4.6,mb,39,84.9,NA,1.09,us,usp000h4a7,2014-11-07T01:40:08.067Z,"Hindu Kush region, Afghanistan",earthquake,NA,NA,NA,10,reviewed,us,us
2009-11-21T04:10:18.170Z,7.877,93.838,39.9,4.5,mb,65,65.4,NA,0.97,us,usp000h495,2014-11-07T01:40:07.874Z,"Nicobar Islands, India region",earthquake,NA,7.6,NA,24,reviewed,us,us
2009-11-20T07:16:58.950Z,30.762,83.448,19,5,mwc,120,53.5,NA,0.77,us,usp000h47k,2016-11-10T02:20:38.088Z,western Xizang,earthquake,NA,11.6,NA,NA,reviewed,us,gcmt
2009-11-18T00:49:04.510Z,27.683,90.446,43.9,4.5,mb,58,68.4,NA,0.94,us,usp000h45a,2014-11-07T01:40:07.299Z,Bhutan,earthquake,NA,6,NA,21,reviewed,us,us
2009-11-17T17:39:40.380Z,27.647,92.823,44.4,4.7,mb,91,97,NA,0.76,us,usp000h44w,2014-11-07T01:40:07.246Z,"Arunachal Pradesh, India",earthquake,NA,4.4,NA,22,reviewed,us,us
2009-11-15T04:37:40.430Z,36.924,79.304,10,4.6,mb,53,92.5,NA,1.16,us,usp000h427,2014-11-07T01:40:06.655Z,"southern Xinjiang, China",earthquake,NA,NA,NA,23,reviewed,us,us
2009-11-14T13:34:34.490Z,17.056,73.747,10,4.3,mb,14,133.7,NA,1.44,us,usp000h41t,2014-11-07T01:40:06.550Z,"Maharashtra, India",earthquake,NA,NA,NA,3,reviewed,us,us
2009-11-14T13:03:34.710Z,17.089,73.828,10,4.8,mwc,42,92.4,NA,1.12,us,usp000h41s,2017-04-26T18:09:44.863Z,"Maharashtra, India",earthquake,NA,NA,NA,NA,reviewed,us,gcmt
2009-11-14T03:46:04.390Z,36.444,80.133,10,4.4,mb,27,130.2,NA,1.01,us,usp000h417,2014-11-07T01:40:06.415Z,"southern Xinjiang, China",earthquake,NA,NA,NA,10,reviewed,us,us
2009-11-14T03:02:03.380Z,36.911,79.481,10,4.5,mb,32,114.3,NA,1.05,us,usp000h415,2014-11-07T01:40:06.409Z,"southern Xinjiang, China",earthquake,NA,NA,NA,10,reviewed,us,us
2009-11-11T13:34:14.980Z,5.523,94.701,95.5,4.2,mb,27,76.6,NA,1.13,us,usp000h3yr,2014-11-07T01:40:05.966Z,"northern Sumatra, Indonesia",earthquake,NA,10.1,NA,4,reviewed,us,us
2009-11-11T05:09:59.670Z,10.282,93.803,35,4.5,mb,24,92.9,NA,0.8,us,usp000h3yh,2014-11-07T01:40:05.923Z,"Andaman Islands, India region",earthquake,NA,NA,NA,5,reviewed,us,us
2009-11-10T02:48:46.790Z,8.082,91.899,23,6,mwc,355,18.6,NA,0.84,us,usp000h3xe,2016-11-10T02:20:14.156Z,"Nicobar Islands, India region",earthquake,NA,7.3,NA,NA,reviewed,us,us
2009-11-07T23:00:32.240Z,26.922,89.178,41.1,4.1,mb,23,163.4,NA,1.14,us,usp000h3uk,2014-11-07T01:40:05.147Z,India-Bangladesh border region,earthquake,NA,14,NA,4,reviewed,us,us
2009-11-07T20:08:46.290Z,29.49,86.008,5.7,5.5,mwc,244,17.8,NA,0.8,us,usp000h3uf,2017-04-26T18:09:42.595Z,western Xizang,earthquake,NA,10.1,NA,NA,reviewed,us,gcmt
2009-11-06T19:50:13.610Z,13.994,92.966,38.2,4.6,mb,75,84.5,NA,0.72,us,usp000h3tk,2014-11-07T01:40:04.951Z,"Andaman Islands, India region",earthquake,NA,NA,NA,22,reviewed,us,us
2009-11-06T02:26:12.360Z,13.116,92.486,37.4,4.4,mb,45,91.3,NA,0.88,us,usp000h3sw,2014-11-07T01:40:04.784Z,"Andaman Islands, India region",earthquake,NA,NA,NA,16,reviewed,us,us
2009-11-02T21:35:44.360Z,14.032,92.968,15.7,5.4,mwc,263,32.2,NA,0.96,us,usp000h3pb,2016-11-10T02:19:51.265Z,"Andaman Islands, India region",earthquake,NA,11.4,NA,NA,reviewed,us,gcmt
2009-10-30T06:43:03.830Z,34.181,70.02,30.4,5.1,mb,158,39.8,NA,1.06,us,usp000h3jn,2015-03-24T02:09:02.752Z,"Hindu Kush region, Afghanistan",earthquake,NA,13.7,NA,91,reviewed,us,us
2009-10-30T04:29:08.390Z,29.643,84.585,10,4.4,mb,55,45.6,NA,0.71,us,usp000h3jk,2014-11-07T01:39:59.762Z,western Xizang,earthquake,NA,NA,NA,17,reviewed,us,us
2009-10-29T21:05:19.980Z,8.151,91.759,29.6,5,mb,134,34,NA,1,us,usp000h3ja,2014-11-07T01:39:59.706Z,"Nicobar Islands, India region",earthquake,NA,3.5,NA,48,reviewed,us,us
2009-10-29T19:57:01.280Z,26.548,90.018,30.4,4.8,mb,76,96.6,NA,0.6,us,usp000h3j9,2014-11-07T01:39:59.698Z,"Assam, India",earthquake,NA,11.2,NA,29,reviewed,us,us
2009-10-29T17:44:32.060Z,36.391,70.722,210,6.2,mwc,372,15.5,NA,0.99,us,usp000h3j7,2016-11-10T02:19:45.194Z,"Hindu Kush region, Afghanistan",earthquake,NA,NA,NA,NA,reviewed,us,us
2009-10-29T17:00:38.600Z,27.262,91.417,26,5.1,mwc,154,43,NA,0.86,us,usp000h3j5,2016-11-10T02:19:44.605Z,Bhutan,earthquake,NA,3.5,NA,NA,reviewed,us,gcmt
2009-10-28T13:40:10.480Z,23.65,69.843,10,4.4,mb,22,151.4,NA,0.82,us,usp000h3gw,2014-11-07T01:39:58.975Z,"Gujarat, India",earthquake,NA,NA,NA,7,reviewed,us,us
2009-10-27T18:10:16.390Z,14.06,93.225,54.8,4.6,mb,47,59.8,NA,0.75,us,usp000h3g0,2014-11-07T01:39:58.855Z,"Andaman Islands, India region",earthquake,NA,9.4,NA,13,reviewed,us,us
2009-10-25T23:47:25.440Z,36.422,71.181,93.1,4.4,mb,14,188.3,NA,1.42,us,usp000h3dn,2014-11-07T01:39:58.570Z,"Hindu Kush region, Afghanistan",earthquake,NA,14.7,NA,2,reviewed,us,us
2009-10-25T11:40:49.770Z,34.848,80.38,23,5,mwc,88,47.5,NA,1.08,us,usp000h3d6,2016-11-10T02:19:33.356Z,western Xizang,earthquake,NA,15.4,NA,NA,reviewed,us,gcmt
2009-10-22T19:51:27.520Z,36.517,70.95,185.9,6.2,mwb,395,16.2,NA,0.84,us,usp000h39a,2017-04-13T22:24:03.595Z,"Hindu Kush region, Afghanistan",earthquake,NA,NA,NA,NA,reviewed,us,us
2009-10-20T09:28:45.820Z,12.047,94.943,11.6,4.9,mb,75,53.7,NA,0.79,us,usp000h36s,2014-11-07T01:39:57.401Z,"Andaman Islands, India region",earthquake,NA,13.9,NA,19,reviewed,us,us
2009-10-20T08:20:04.670Z,16.893,95.817,10,4.2,mb,16,100.7,NA,0.98,us,usp000h36q,2014-11-07T01:39:57.392Z,near the south coast of Myanmar,earthquake,NA,NA,NA,4,reviewed,us,us
2009-10-16T19:29:12.980Z,35.178,92.135,10,4.9,mwc,61,37.2,NA,1.51,us,usp000h32p,2016-11-10T02:19:08.764Z,"southern Qinghai, China",earthquake,NA,NA,NA,NA,reviewed,us,gcmt
2009-10-15T13:27:48.310Z,36.989,71.377,94.1,5,mb,96,54.1,NA,0.77,us,usp000h30f,2014-11-07T01:39:56.186Z,"Hindu Kush region, Afghanistan",earthquake,NA,5,NA,41,reviewed,us,us
2009-10-15T05:17:34.210Z,10.7,91.73,10,4.5,mb,31,81.3,NA,0.97,us,usp000h2zm,2014-11-07T01:39:56.082Z,"Andaman Islands, India region",earthquake,NA,NA,NA,5,reviewed,us,us
2009-10-14T23:04:54.920Z,10.885,92.139,21.2,4,mb,30,87.9,NA,0.69,us,usp000h2ym,2014-11-07T01:39:55.943Z,"Andaman Islands, India region",earthquake,NA,26.9,NA,4,reviewed,us,us
2009-10-11T18:26:11.170Z,23.265,94.503,88.4,4.8,mb,105,34.6,NA,0.79,us,usp000h2ru,2014-11-07T01:39:54.952Z,Myanmar,earthquake,NA,NA,NA,33,reviewed,us,us
2009-10-05T09:46:59.360Z,10.696,91.566,10,4.5,mb,12,176.7,NA,0.61,us,usp000h2df,2014-11-07T01:39:52.590Z,"Andaman Islands, India region",earthquake,NA,NA,NA,2,reviewed,us,us
2009-10-03T11:52:32.680Z,4.807,96.066,35,4.4,mb,34,112.5,NA,1.05,us,usp000h2ah,2014-11-07T01:39:51.952Z,"northern Sumatra, Indonesia",earthquake,NA,NA,NA,6,reviewed,us,us
2009-10-03T05:20:58.720Z,29.996,79.849,36.1,4.8,mb,81,97.5,NA,0.59,us,usp000h29z,2014-11-07T01:39:51.859Z,"Uttaranchal, India",earthquake,NA,5.6,NA,28,reviewed,us,us
2009-10-02T18:29:05.580Z,13.976,92.867,36.9,4.6,mb,96,46.2,NA,0.89,us,usp000h28u,2014-11-07T01:39:51.612Z,"Andaman Islands, India region",earthquake,NA,NA,NA,18,reviewed,us,us
2009-09-29T06:01:13.260Z,30.888,83.49,10,5,mwc,63,94.7,NA,1.04,us,usp000h1y2,2016-11-10T02:17:40.271Z,western Xizang,earthquake,NA,NA,NA,NA,reviewed,us,gcmt
2009-09-28T02:43:25.680Z,35.822,95.928,30.5,4.8,mwc,53,60,NA,1.4,us,usp000h1xc,2016-11-10T02:17:38.068Z,"southern Qinghai, China",earthquake,NA,5.4,NA,NA,reviewed,us,gcmt
2009-09-22T08:27:59.310Z,27.289,91.526,27.9,4,mb,21,141,NA,0.89,us,usp000h1s0,2014-11-07T01:39:44.185Z,Bhutan,earthquake,NA,25.7,NA,5,reviewed,us,us
2009-09-21T19:38:42.330Z,20.404,94.793,84.2,5.7,mwc,299,31.7,NA,0.76,us,usp000h1rn,2016-11-10T02:17:25.687Z,Myanmar,earthquake,NA,NA,NA,NA,reviewed,us,gcmt
2009-09-21T10:22:20.960Z,27.305,91.491,10,4.1,mb,19,142.2,NA,1.07,us,usp000h1r9,2014-11-07T01:39:44.055Z,Bhutan,earthquake,NA,NA,NA,3,reviewed,us,us
2009-09-21T09:43:50.990Z,30.879,79.057,52.3,5,mb,78,85.3,NA,0.79,us,usp000h1r8,2015-03-24T02:30:47.981Z,"Uttaranchal, India",earthquake,NA,7.4,NA,24,reviewed,us,us
2009-09-21T09:16:54.340Z,27.31,91.489,10,4.5,mb,40,77.3,NA,1.18,us,usp000h1r5,2014-11-07T01:39:44.015Z,Bhutan,earthquake,NA,NA,NA,12,reviewed,us,us
2009-09-21T08:53:05.910Z,27.332,91.437,14,6.1,mwb,259,45.4,NA,0.98,us,usp000h1r4,2017-04-26T18:09:33.016Z,Bhutan,earthquake,NA,NA,NA,NA,reviewed,us,us
2009-09-20T00:17:36.950Z,33.545,67.902,10,4.4,mb,36,145.5,NA,0.83,us,usp000h1ph,2014-11-07T01:39:43.408Z,central Afghanistan,earthquake,NA,NA,NA,9,reviewed,us,us
2009-09-19T06:33:46.760Z,13.846,92.634,23.6,4.3,mb,20,101.1,NA,1.43,us,usp000h1nj,2014-11-07T01:39:43.137Z,"Andaman Islands, India region",earthquake,NA,9.6,NA,6,reviewed,us,us
2009-09-19T04:17:56.820Z,36.476,70.736,199.9,5.1,mwc,215,26.8,NA,0.84,us,usp000h1nf,2016-11-10T02:17:18.766Z,"Hindu Kush region, Afghanistan",earthquake,NA,5.7,NA,NA,reviewed,us,gcmt
2009-09-13T18:11:23.260Z,4.654,95.011,10,4.8,mb,33,100.1,NA,1.06,us,usp000h1ge,2014-11-07T01:39:42.220Z,"northern Sumatra, Indonesia",earthquake,NA,NA,NA,5,reviewed,us,us
2009-09-12T08:48:42.620Z,5.177,94.619,35,4.5,mb,30,183.2,NA,0.91,us,usp000h1fd,2014-11-07T01:39:42.022Z,"northern Sumatra, Indonesia",earthquake,NA,NA,NA,6,reviewed,us,us
2009-09-12T04:43:29.490Z,8.572,93.901,28.7,4.6,mb,61,48,NA,0.8,us,usp000h1f7,2014-11-07T01:39:42.001Z,"Nicobar Islands, India region",earthquake,NA,NA,NA,13,reviewed,us,us
2009-09-11T02:17:07.070Z,36.433,68.278,59.7,4.1,mb,19,105.5,NA,1.19,us,usp000h1dr,2014-11-07T01:39:41.783Z,"Hindu Kush region, Afghanistan",earthquake,NA,13.7,NA,1,reviewed,us,us
2009-09-09T00:07:16.720Z,10.261,93.82,169.9,4.7,mb,108,61,NA,0.58,us,usp000h1by,2014-11-07T01:39:41.408Z,"Andaman Islands, India region",earthquake,NA,5.4,NA,42,reviewed,us,us
2009-09-08T09:59:15.650Z,14.037,93.161,41.3,4.1,mb,22,100.9,NA,0.65,us,usp000h1b8,2014-11-07T01:39:41.289Z,"Andaman Islands, India region",earthquake,NA,20,NA,3,reviewed,us,us
2009-09-08T03:39:52.620Z,5.26,94.315,57.5,5,mwc,178,37.4,NA,0.8,us,usp000h1b1,2016-11-10T02:17:01.912Z,"northern Sumatra, Indonesia",earthquake,NA,5.3,NA,NA,reviewed,us,gcmt
2009-09-07T09:01:53.600Z,36.446,70.727,195.4,4.9,mb,37,90,NA,0.94,us,usp000h1a6,2014-11-07T01:39:40.921Z,"Hindu Kush region, Afghanistan",earthquake,NA,6.4,NA,9,reviewed,us,us
2009-09-06T01:14:39.910Z,13.987,92.923,33.7,4.6,mb,75,57.8,NA,0.84,us,usp000h18w,2014-11-07T01:39:40.630Z,"Andaman Islands, India region",earthquake,NA,NA,NA,20,reviewed,us,us
2009-09-05T08:18:49.770Z,13.925,93.145,35,4.3,mb,23,147.6,NA,0.84,us,usp000h18h,2014-11-07T01:39:40.571Z,"Andaman Islands, India region",earthquake,NA,NA,NA,6,reviewed,us,us
2009-09-05T07:28:35.590Z,34.233,82.022,46.2,4.8,mb,52,96,NA,1.36,us,usp000h18f,2014-11-07T01:39:40.560Z,western Xizang,earthquake,NA,9.8,NA,13,reviewed,us,us
2009-09-05T06:40:03.570Z,23.123,70.249,10,4,mb,20,151.7,NA,1.21,us,usp000h18d,2014-11-07T01:39:40.553Z,"Gujarat, India",earthquake,NA,NA,NA,5,reviewed,us,us
2009-09-05T03:19:09.510Z,16.081,93.671,10,4.6,mb,37,100.3,NA,0.61,us,usp000h189,2014-11-07T01:39:40.464Z,Bay of Bengal,earthquake,NA,NA,NA,12,reviewed,us,us
2009-09-04T06:57:52.350Z,13.942,93.119,35,4.3,mb,19,149.1,NA,0.6,us,usp000h17b,2014-11-07T01:39:40.137Z,"Andaman Islands, India region",earthquake,NA,NA,NA,2,reviewed,us,us
2009-09-04T06:13:32.650Z,13.78,92.867,35,4.4,mb,17,149.4,NA,1.08,us,usp000h177,2014-11-07T01:39:40.113Z,"Andaman Islands, India region",earthquake,NA,NA,NA,2,reviewed,us,us
2009-09-03T19:51:06.960Z,24.332,94.669,95,5.9,mwc,358,14.3,NA,0.83,us,usp000h16n,2016-11-10T02:16:52.235Z,Myanmar-India border region,earthquake,NA,NA,NA,NA,reviewed,us,gcmt
2009-09-03T00:49:43.520Z,14.052,92.895,40.9,4.1,mb,26,82.3,NA,0.51,us,usp000h15z,2014-11-07T01:39:39.437Z,"Andaman Islands, India region",earthquake,NA,4.9,NA,6,reviewed,us,us
2009-09-02T17:21:55.570Z,11.027,93.603,123.7,4.8,mb,48,74.9,NA,0.67,us,usp000h15m,2014-11-07T01:39:38.805Z,"Andaman Islands, India region",earthquake,NA,7.9,NA,16,reviewed,us,us
2009-08-31T10:41:31.590Z,14.05,92.822,34.6,4.8,mb,64,82.3,NA,0.98,us,usp000h136,2014-11-07T01:39:35.542Z,"Andaman Islands, India region",earthquake,NA,13.4,NA,15,reviewed,us,us
2009-08-30T19:27:48.840Z,25.28,95.101,82.2,5.3,mwc,194,22.5,NA,0.96,us,usp000h12d,2016-11-10T02:16:45.712Z,Myanmar,earthquake,NA,NA,NA,NA,reviewed,us,gcmt
2009-08-30T09:34:13.180Z,14.208,93.075,35,4.7,mb,12,198.3,NA,0.45,us,usp000h11p,2014-11-07T01:39:35.245Z,"Andaman Islands, India region",earthquake,NA,NA,NA,1,reviewed,us,us
2009-08-30T02:41:04.030Z,18.229,94.141,13.7,4.4,mb,29,100.5,NA,0.58,us,usp000h112,2014-11-07T01:39:35.101Z,Myanmar,earthquake,NA,27.1,NA,7,reviewed,us,us
2009-08-28T16:45:18.250Z,5.475,94.659,55.3,5,mwc,125,60.7,NA,0.79,us,usp000h0ze,2016-11-10T02:16:40.071Z,"northern Sumatra, Indonesia",earthquake,NA,NA,NA,NA,reviewed,us,gcmt
2009-08-27T22:39:06.080Z,14.34,93.021,35,4.7,mb,63,83.5,NA,0.77,us,usp000h0y5,2014-11-07T01:39:34.107Z,"Andaman Islands, India region",earthquake,NA,NA,NA,24,reviewed,us,us
2009-08-26T02:57:50.220Z,14.088,93.113,33,4.8,mb,95,47.7,NA,0.74,us,usp000h0vn,2014-11-07T01:39:33.717Z,"Andaman Islands, India region",earthquake,NA,NA,NA,29,reviewed,us,us
2009-08-25T20:26:51.920Z,5.361,94.693,80.5,4.6,mb,55,96.1,NA,0.86,us,usp000h0vc,2014-11-07T01:39:33.678Z,"northern Sumatra, Indonesia",earthquake,NA,9.6,NA,9,reviewed,us,us
2009-08-25T08:31:45.860Z,14.077,93.163,35,4.4,mb,21,102.3,NA,0.71,us,usp000h0uw,2014-11-07T01:39:33.623Z,"Andaman Islands, India region",earthquake,NA,NA,NA,2,reviewed,us,us
2009-08-25T07:51:19.890Z,14.092,93.115,35,4.2,mb,24,102.3,NA,0.8,us,usp000h0uv,2014-11-07T01:39:33.620Z,"Andaman Islands, India region",earthquake,NA,NA,NA,2,reviewed,us,us
2009-08-21T14:26:02.050Z,14.04,92.989,35,4.9,mb,83,56.1,NA,1.15,us,usp000h0qb,2014-11-07T01:39:32.866Z,"Andaman Islands, India region",earthquake,NA,NA,NA,36,reviewed,us,us
2009-08-21T12:46:06.040Z,14.206,93.085,35,4.4,mb,34,83.6,NA,0.86,us,usp000h0q9,2014-11-07T01:39:32.841Z,"Andaman Islands, India region",earthquake,NA,NA,NA,6,reviewed,us,us
2009-08-19T10:45:13.870Z,26.556,92.47,10,5,mb,85,32.4,NA,1.02,us,usp000h0n0,2015-03-24T01:01:58.680Z,"Assam, India",earthquake,NA,NA,NA,27,reviewed,us,us
2009-08-18T21:04:40.290Z,14.112,92.826,35,4.2,mb,31,87.6,NA,1.17,us,usp000h0m6,2014-11-07T01:39:32.275Z,"Andaman Islands, India region",earthquake,NA,NA,NA,9,reviewed,us,us
2009-08-18T05:37:56.340Z,14.061,92.809,35,4.8,mb,56,62.2,NA,0.78,us,usp000h0jz,2014-11-07T01:39:31.998Z,"Andaman Islands, India region",earthquake,NA,NA,NA,12,reviewed,us,us
2009-08-17T21:27:57.330Z,13.931,92.945,35,4,mb,21,103.7,NA,0.57,us,usp000h0j2,2014-11-07T01:39:31.601Z,"Andaman Islands, India region",earthquake,NA,NA,NA,4,reviewed,us,us
2009-08-16T22:50:14.060Z,13.93,93.085,35,4.1,mb,14,149.2,NA,0.47,us,usp000h0gh,2014-11-07T01:39:31.290Z,"Andaman Islands, India region",earthquake,NA,NA,NA,3,reviewed,us,us
2009-08-15T05:07:55.750Z,14.304,93.055,35,4.3,mb,35,83.5,NA,0.69,us,usp000h0d4,2014-11-07T01:39:30.691Z,"Andaman Islands, India region",earthquake,NA,NA,NA,5,reviewed,us,us
